t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
129.01,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
129.03,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
129.07,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
129.1,0.0,0.16,0.0,1.0,0.0,0.16,0.0,0.16,,
129.1,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
129.172,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.202,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
129.206,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.268,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.3,0.0,1.0,0.0,0.32,0.0,0.32,0.0,0.32,,
129.3,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.348,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.388,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
129.396,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.454,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.484,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
129.492,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.53,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.574,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
129.594,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.63,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.674,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
129.69,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.712,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.766,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
129.77,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.826,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.862,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
129.87,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.9,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
129.958,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
129.97,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
130.014,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
130.056,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
130.072,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
130.1,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
130.154,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.32,,
130.17,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
